Id;Nombre;Apellido;Documento;IdTipoDocumento;Celular;IdGenero;IdEstadoCivil;Correo;IdProvincia;SucursalPreferido
1;Veran ;Corporan ;40223497818;1;8493372916;2;6;VeranCorporan@gmail.com;9;1
2;Claudia ;Terrero Morel;40227605741;1;8498151454;2;3;ClaudiaTerreroMorel@gmail.com;4;9
3;Bruno ;Monegro Bello;40291099296;1;8293857515;1;1;BrunoMonegroBello@gmail.com;17;11
4;Gabriela Clara;Marmolejos Solis;40218503521;1;8291073227;2;5;GabrielaClaraMarmolejosSolis@gmail.com;27;4
5;Antonio Manuel;Paniagua ;40279010471;1;8293612562;1;1;AntonioManuelPaniagua@gmail.com;29;7
6;Romina ;Aybar ;40211962792;1;8297016431;2;5;RominaAybar@gmail.com;4;10
7;Julia Juliana;Nova Cabral;40276586347;1;8292621731;2;2;JuliaJulianaNovaCabral@gmail.com;5;12
8;Enzo ;Cespedes ;40298415333;1;8499826360;1;3;EnzoCespedes@gmail.com;1;12
9;Delfina ;Sosa ;62677545139;2;8496252071;2;4;DelfinaSosa@gmail.com;10;13
10;Aitana ;Veloz ;40221912861;1;8291405486;2;2;AitanaVeloz@gmail.com;15;6
11;Antonio Adrián;Pimentel Grullon;40219593062;1;8491183858;1;3;AntonioAdriánPimentelGrullon@gmail.com;26;6
12;León ;Ozuna ;40238645599;1;8293898588;1;4;LeónOzuna@gmail.com;19;5
13;Mateo Oliver;Mateo ;40292920966;1;8292059967;1;4;MateoOliverMateo@gmail.com;31;15
14;Fernando Sergio;Santiago ;40244057428;1;8497820782;1;1;FernandoSergioSantiago@gmail.com;22;9
15;Alejandro Santiago;Bonilla Cabrera;40258429606;1;8297912228;1;6;AlejandroSantiagoBonillaCabrera@gmail.com;24;9
16;Alexa ;Garrido ;40268892506;1;8498475699;2;2;AlexaGarrido@gmail.com;31;4
17;Sara ;Suero ;40254407263;1;8293052179;2;6;SaraSuero@gmail.com;28;15
18;Lucía ;Serrano Ovalles;40256449504;1;8493536706;2;6;LucíaSerranoOvalles@gmail.com;26;10
19;Ethan Jerónimo;Delgado ;40282057173;1;8296278868;1;5;EthanJerónimoDelgado@gmail.com;19;15
20;Manuel ;Flores ;40255102840;1;8295790284;1;4;ManuelFlores@gmail.com;15;4
21;Andrea ;Sanchez ;40268016084;1;8499840271;2;5;AndreaSanchez@gmail.com;2;6
22;Mario Luciano;Mella ;40229203688;1;8499559919;1;4;MarioLucianoMella@gmail.com;22;4
23;Antonella Aitana;Peralta Duarte;40294145620;1;8294553494;2;2;AntonellaAitanaPeraltaDuarte@gmail.com;8;2
24;Juana ;Cespedes ;40276020118;1;8291231533;2;6;JuanaCespedes@gmail.com;12;11
