IdDireccion;Direccion;IdCliente;EsDireccionVivienda
1;Calle Yolanda Guzman Edif. 195 Apt. 125;29429;1
2;Calle L2 Edif. 117 Apt. 90;9911;0
3;Jose Barrientos Edif. 152 Apt. 51;35822;0
4;Los Profesionales Edif. 106 Apt. 5;28441;1
5;Calle Sol De Arroyo Edif. 23 Apt. 13;40285;0
6;Altagracia 1ra Edif. 70 Apt. 163;4461;0
7;Calle La Rosa Edif. 85 Apt. 194;6798;0
8;Merengue Edif. 23 Apt. 3;7067;0
9;Francisco Heredia Edif. 160 Apt. 68;22079;0
10;Calle Magante Edif. 117 Apt. 57;28188;0
11;Napoleon Bonaparte Edif. 186 Apt. 121;6786;0
12;Calle Ramon Fidel Yanes Edif. 186 Apt. 8;359;0
13;Sol De Primavera Edif. 147 Apt. 126;37804;1
14;Calle Roosevelt Edif. 71 Apt. 25;34025;0
15;Calle T Edif. 124 Apt. 68;24673;1
16;Maney Edif. 39 Apt. 24;60;1
17;Desiderio Arias Edif. 118 Apt. 33;9474;0
18;Proyecto 4 Edif. 200 Apt. 26;14918;0
19;Calle Freddy Gatón Arce Edif. 25 Apt. 45;31167;0
20;Los Robles Edif. 76 Apt. 195;5699;0
21;Calle Jardines De Bervederes Edif. 17 Apt. 180;9449;1
22;Avenida Tiradentes Edif. 147 Apt. 194;19443;0
23;Calle Caonabo Edif. 197 Apt. 125;8398;0
24;Puerto Plata Edif. 5 Apt. 165;6022;1
25;Calle Los Robles Edif. 159 Apt. 161;20875;0
26;Respaldo 13 Edif. 171 Apt. 172;40946;0
27;Calle Sol De Amanecer Edif. 130 Apt. 38;21485;0
28;M. T. Sanchez Edif. 187 Apt. 92;32298;1
29;Mahatma Gandhi Edif. 154 Apt. 60;19680;0
30;Dicona I Edif. 134 Apt. 3;35695;0
31;Calle Mariposa Edif. 106 Apt. 58;34448;0
32;Calle Penetracion Norte Edif. 172 Apt. 79;38958;0
33;Manzana C Edif. 191 Apt. 27;29553;0
34;Calle C-36b Edif. 177 Apt. 85;14458;1
35;Alberto Beltran Edif. 132 Apt. 138;13673;1
36;Calle San Miguel Edif. 158 Apt. 81;22028;1
37;Callef Edif. 9 Apt. 13;21049;0
38;Damijagua Edif. 162 Apt. 63;29910;0
39;San Juan Bautista Edif. 151 Apt. 23;5445;0
40;Calle Clavel Edif. 89 Apt. 147;20119;0
41;Calle A Edif. 66 Apt. 43;35034;1
42;Calle Tireo Edif. 15 Apt. 105;3597;0
43;Trinitaria Edif. 97 Apt. 72;9268;0
44;B 1 Edif. 150 Apt. 76;27581;0
